"iguanaID","abx","lps","tx","jan11mass","jan20glu","jan20mass","jan20svl","jan24glu","jan24mass","feb8glu","feb8mass","feb8svl","tailbreak","jan24agg","jan26agg","feb1agg","feb8agg","jan24lys","jan26lys","feb1lys","feb8lys","jan20bka","jan24bka","jan26bka","feb1bka","feb8bka","jan20drom","jan24drom","feb8drom","jan20oxy","jan24oxy","feb8oxy","jan20totri","jan20gly","jan20trtri","jan24totri","jan24gly","jan24trtri","feb8totri","feb8gly","feb8trtri","jan20drom_std","jan24drom_std","feb8drom_std","jan20oxy_std","jan24oxy_std","feb8oxy_std","jan20osi","jan24osi","feb8osi"
11,"P","P","pp",60,302,62,118,299,63,316,71,130,0,0,0,0,0,0,0.5,0,0,7.752545027,1.97044335,8.864954432,25.57003257,17.28971963,12.44355301,5.955258765,8.402436902,341.3372665,366.2024141,352.4850555,0.822058221,0.37672866,0.656652361,0.98400984,0.100143062,0.991806477,4.062866068,1.548616932,2.892211978,1.83129333299427,-0.117695780932082,-0.199065937289228,-0.19933395406273,1.37533272115594,1.03958526749336,2.03062728705701,-1.49302850208802,-1.23865120478259
12,"P","L","pl",59,309,59,120,381,60,325,60,127,0,2,0,0.5,3,3,0,0.5,2.5,4.933437745,5.747126437,5.716652858,2.280130293,55.76323988,7.284813754,5.235392321,6.443167972,336.9911504,327.0566388,353.3561059,2.084870849,0.27420124,1.925477956,2.687576876,0.040534096,2.651970347,2.951971886,0.681056161,2.446593209,0.461616108177453,-0.332466607057049,-0.61848209379025,-1.03802417953229,-1.15031501741229,1.12059877575919,1.49964028770975,0.817848410355238,-1.73908086954944
13,"P","L","pl",58,269,60,116,295,57,400,56,130,0,0,0,0,2,0,0.5,2,3,14.80031323,7.881773399,-2.071251036,12.70358306,8.099688474,7.052148997,9.320868114,14.11453438,341.0029499,348.8393686,353.646456,0.867158672,0.131139723,0.860319938,1.031160312,0.011921793,1.094420601,1.475985943,0.184409053,1.385203508,0.399842174108233,0.886427562117703,1.02370952405693,-0.263848582337901,0.255085740079229,1.14760327541424,0.663690756446135,0.631341822038474,-0.123893751357316
14,"P","P","pp",57,303,57,116,309,58,262,58,121,0,1.5,4,3,0,2,4,3,0,7.439310885,7.224958949,7.207953604,27.19869707,14.95327103,6.498567335,6.132888147,10.11801567,338.3284169,313.7975859,352.7754056,1.469864699,0.159752027,1.41513851,1.941369414,0.407725322,1.701521654,1.565794611,0.582564962,1.186567724,0.25286281405708,-0.0647003823631121,0.168184031324993,-0.779965647134163,-2.00577634665671,1.06658976714841,1.03282846119124,1.94107596429359,-0.89840573582342
15,"C","P","cp",56,167,59,117,279,56,288,58,123,0,6.5,5.5,3,3,7.5,6.5,3.5,3.5,26.85982772,123.9737274,121.7067109,121.6612378,118.2242991,16.81604585,9.451752922,10.43968668,329.9705015,349.4707521,346.0973527,5.223452235,6.661897949,0.731174405,1.365313653,0.150214592,1.321888412,1.58141351,0.500838223,1.260025485,2.99221726448724,0.925476803231334,0.23704339851355,-2.39283143120318,0.295821995696176,0.445486219278148,5.38504869569042,0.629654807535158,-0.208442820764597
16,"C","L","cl",55,232,59,117,283,56,218,51,123,0,0,0,1.5,4.5,0.5,0,1,5,11.04150352,1.642036125,5.882352941,4.397394137,116.9781931,2.519197708,6.44645602,4.776327241,345.0147493,288.542247,346.0973527,1.223862239,0.107296137,1.21537261,0.783107831,0.121602289,0.786578229,1.210464662,0.079631182,1.205306949,-0.803684469446429,0.0288520143234859,-0.9752988238424,0.510326995559033,-3.63522650036356,0.445486219278148,-1.31401146500546,3.66407851468705,-1.42078504312055
17,"W","L","wl",55,310,52,110,350,56,331,52,120,0,0.5,0,2,3.5,2,0,2,4,13.86061081,-0.65681445,1.905550953,8.631921824,84.73520249,4.019484241,5.633475662,5.838816362,345.6833825,349.4707521,346.9684031,0.986059861,0.200286123,0.92820913,1.635916359,0.169289461,1.566913773,1.876220226,0.748113998,1.366089499,-0.405349102416688,-0.213699176340197,-0.747854241513434,0.639356252109364,0.295821995696176,0.52649972754398,-1.04470535452605,-0.509521172036372,-1.27435396905741
18,"W","P","wp",54,263,60,126,263,58,226,57,130,0,4,3,3.5,5,4.5,3,4,5.5,5.246671887,127.2868217,1.73985087,60.42345277,16.66666667,6.281948424,3.969257045,7.369190601,343.3431662,333.3704735,342.322801,2.585075851,0.333810205,2.36246586,0.805658057,0.193133047,0.761217323,3.912534166,0.884325231,3.223146691,0.195349151486086,-0.71021573188288,-0.4202505769519,0.187753834885731,-0.742952480598547,0.0944276865597692,0.00759531660035495,0.0327367487156675,-0.514678263511669
19,"W","P","wp",52,241,57,116,366,53,318,52,118,0,1,1,0,0,1.5,1.5,0.5,0,5.716523101,11.78294574,7.870753935,0.651465798,4.361370717,1.724928367,3.653629377,3.626109661,342.6745329,364.9396472,351.323655,1.39196392,0.240820219,1.287943816,2.056170562,0.438721984,1.790479906,2.307692308,0.637049455,1.859680684,-1.01456789905041,-0.804382664609441,-1.22152323395618,0.0587245590379314,1.29386021637395,0.931567259572469,-1.07329245808834,-2.09824288098339,-2.15309049352865
20,"W","L","wl",51,266,50,112,360,48,352,51,120,0,1,1,0,1.5,1.5,1.5,0.5,1,10.72826938,22.94573643,64.54018227,6.840390879,22.74143302,3.522063037,3.806660974,6.647867711,334.9852507,332.1077066,350.7429547,0.883558836,0.181211254,0.843152556,0.924336973,0.21902378,0.813927113,2.737212027,2.254819782,1.1146091,-0.537417513020568,-0.758725969836607,-0.57466249534026,-1.42511196848076,-0.824424985380535,0.877558250961693,0.887694455460188,0.0656990155439279,-1.45222074630195
21,"C","L","cl",50,193,57,115,306,53,260,53,119,0,1.5,2,NA,NA,1.5,2.5,NA,NA,20.4385278,20.62015504,1.73985087,NA,33.48909657,11.32034384,9.487959009,NA,337.3254671,349.4707521,NA,0.891758918,0.236051502,0.815060476,1.819422777,0.279516062,1.637683351,6.99531433,5.984911987,2.533168428,1.53307434139374,0.936278822523322,NA,-0.973509531959654,0.295821995696176,NA,2.50658387335339,0.640456826827146,NA
22,"C","P","cp",50,281,54,124,293,58,281,57,130,0,0,2,1.5,2.5,0,2.5,0.5,3,15.74001566,31.9379845,127.0091135,35.66775244,23.67601246,2.976504298,10.63569599,6.638120104,341.6715831,343.1569174,352.7754056,2.062320623,0.135908441,1.994537651,1.770559519,0.165734824,1.686458259,4.912143694,2.967309304,2.69245184,-0.682266737322608,1.27870403436379,-0.576749142967047,-0.134819325787559,-0.111540541117564,1.06658976714841,-0.547447411535049,1.39024457548135,-1.64333891011546
23,"P","P","pp",49,333,51,112,351,50,405,50,121,0,1.5,2,3,0,2.5,2.5,3,0,9.475332811,54.10852713,99.33719967,118.5667752,12.61682243,5.800573066,6.427327071,8.675369887,341.0029499,349.7864438,355.6789069,2.462074621,1.494992847,1.485368709,1.092043682,0.223195661,0.973461364,1.419367435,0.3248114,1.23041751,0.0675410123804327,0.0231449276633492,-0.14063980609393,-0.263848582337901,0.316190120278693,1.33663479160096,0.331389594718334,-0.293045192615344,-1.47727459769489
24,"P","L","pl",49,223,54,114,293,54,332,51,122,0,3,1,1,2,4,1.5,3,0.5,40.17227878,3.720930233,-0.248550124,29.80456026,12.14953271,5.102578797,6.98206661,5.536640557,341.0029499,348.8393686,348.4201537,2.466174662,0.54840248,2.108856808,1.17199688,0.152273675,1.102374112,1.79617337,0.349958089,1.574094895,-0.117780789296215,0.188650446177577,-0.812540315375026,-0.263848582337901,0.255085740079229,0.661522235119923,0.146067793041687,-0.066435293901652,-1.47406255049495
25,"P","L","pl",48,289,52,111,319,52,340,54,117,0,1,0,0,0.5,2,0,0,1,6.029757244,6.821705426,3.562551781,3.42019544,9.345794393,1.46017192,2.5058924,5.136988686,343.0088496,345.998143,346.6780529,2.011070111,0.109680496,1.962934062,3.065522621,0.281602003,2.844019356,2.075361187,0.429589271,1.785098568,-1.08486237558507,-1.14680787525652,-0.89809286464822,0.123239206610571,0.0717725994808343,0.499495218588259,-1.20810158219564,-1.21858047473735,-1.39758808323648
26,"P","P","pp",48,254,51,106,263,53,316,54,111,0,0,0,0,2,0,0,0,0,8.692247455,10.23255814,0.082850041,6.840390879,12.30529595,2.984527221,4.667463706,4.844560487,339.3313668,339.0529248,332.7412468,1.02501025,0.219360992,0.9527897,1.714118565,0.16478932,1.618781189,2.090980086,1.028918692,1.371336482,-0.680136601573495,-0.501907062075061,-0.960692291097093,-0.586421743011192,-0.376326192949849,-0.796720885763048,-0.0937148585623032,-0.125580869125212,-0.163971405334045
27,"C","P","cp",48,278,52,112,292,49,242,54,121,0,1,0.5,NA,5,1.5,1,NA,0,6.499608457,47.59689922,-3.065451533,NA,27.88161994,8.09512894,5.423057216,9.474673629,342.0058997,349.4707521,349.8719044,1.734317343,0.324272771,1.559110417,1.977379095,0.463078849,1.657719643,3.795392425,3.296311819,1.385203508,0.676759809014154,-0.276477131690136,0.030465292452457,-0.0703046975123995,0.295821995696176,0.796544751996531,0.747064506526553,-0.572299127386312,-0.766079459544074
28,"C","L","cl",48,224,50,118,259,49,245,56,122,0,0,0,0,3,0,0,0.5,0,7.282693814,5.271317829,5.053852527,6.840390879,31.46417445,3.602292264,5.050042699,12.74986945,334.9852507,330.8449396,348.4201537,1.584665847,0.355269433,1.396410456,1.602964119,0.193992491,1.489868441,4.162436548,4.080050293,1.176823327,-0.516116156325955,-0.387765324993803,0.731578867010101,-1.42511196848076,-0.905897496614425,0.661522235119923,0.908995812154801,0.518132171620621,0.0700566318901779
29,"W","L","wl",47,261,54,112,204,54,243,52,118,0,0,0,0,9,0,0.5,0,8.5,19.96867659,5.271317829,-0.745650373,15.96091205,35.20249221,2.021776504,9.803586678,18.19878155,339.3313668,348.8393686,348.4201537,1.584665847,0.176442537,1.513460788,NA,NA,NA,8.912534166,6.536043588,3.979087025,-0.935752880050309,1.03044575554823,1.89801484478775,-0.586421743011192,0.255085740079229,0.661522235119923,-0.349331137039117,0.775360015469001,1.23649260966782
30,"W","P","wp",47,223,50,116,312,48,306,52,118,0,1.5,0,0.5,1.5,2,0.5,0,2,5.403288958,24.03100775,1.408450704,15.96091205,94.5482866,3.112893983,3.634500427,5.926544822,338.3284169,350.1021356,355.0982067,1.078310783,0.286123033,0.959812719,0.799531981,0.187734668,0.715635869,3.00468567,0.702011735,2.482197736,-0.646054431180722,-0.810089751567925,-0.729074413514552,-0.779965647134163,0.336558251313119,1.28262579229085,0.133911215953441,-1.14664800288104,-2.01170020580541
31,"W","P","wp",47,219,52,110,293,53,312,56,119,0,0,0,0,3,0,0,0,0,1.957713391,20.31007752,3.893951947,-1.140065147,22.89719626,2.455014327,3.031938514,5.302697998,339.6656834,347.2609099,355.6789069,0.922509225,0.185979971,0.877097152,1.07449298,0.089695453,1.053228489,3.340491995,2.849958089,1.26789596,-0.820725554642815,-0.989862987180017,-0.862619856491311,-0.521907114736032,0.153245104262819,1.33663479160096,-0.298818439906783,-1.14310809144284,-2.19925464809228
32,"W","L","wl",46,246,49,111,336,48,342,50,118,0,0,0,2,1.5,0.5,0.5,1,2,8.848864526,13.02325581,5.385252693,4.723127036,14.64174455,1.909455587,3.137147737,4.776327241,356.3815143,355.4688951,342.3967774,1.053710537,0.424415832,0.84588373,1.407956318,0.102211097,1.367382429,3.850058571,0.712489522,3.286110486,-0.965574779210362,-0.958474009505047,-0.9752988238424,2.70382447269948,0.682816407927391,0.101307986130122,-3.66939925190985,-1.64129041743244,-1.07660680997252
33,"C","L","cl",46,302,50,112,404,49,366,44,111,0,3,2,0.5,0.5,3.5,2.5,0,0,10.72826938,120.3100775,18.30985915,4.885993485,20.40498442,3.048710602,4.332707088,4.932288947,336.9911504,328.003714,344.1087613,2.181221812,0.300429185,2,1.825273011,0.158531498,1.731060033,2.251073799,1.301341157,1.330110187,-0.663095516377109,-0.601781081760107,-0.94191246309821,-1.03802417953229,-1.08921063721282,0.260533929696214,0.374928663155185,0.487429555452713,-1.20244639279442
34,"C","P","cp",45,253,51,111,315,49,270,53,118,0,1.5,2.5,NA,2,1,3,NA,2,12.45105717,9.147286822,9.030654515,NA,96.21603027,10.90315186,11.41041845,8.509660574,341.0029499,348.2079851,335.2064451,2.929479295,1.120648546,2.17518533,1.511310452,0.667501043,1.057765008,3.401015228,1.561190277,2.247957424,1.42230728668796,1.5098410517072,-0.176112814464907,-0.263848582337901,0.214349484462282,-0.567440969406928,1.68615586902586,1.29549156724492,0.391328154942021
