"iguanaID","abx","lps","tx","jan11mass","jan20glu","jan20mass","jan20svl","jan24glu","jan24mass","feb8glu","feb8mass","feb8svl","tailbreak","jan24agg","jan26agg","feb1agg","feb8agg","jan24lys","jan26lys","feb1lys","feb8lys","jan20bka","jan24bka","jan26bka","feb1bka","feb8bka","jan20drom","jan24drom","feb8drom","jan20oxy","jan24oxy","feb8oxy","jan20totri","jan20gly","jan20trtri","jan24totri","jan24gly","jan24trtri","feb8totri","feb8gly","feb8trtri","jan20drom_std","jan24drom_std","feb8drom_std","jan20oxy_std","jan24oxy_std","feb8oxy_std","jan20osi","jan24osi","feb8osi"
47,"P","P","pp",40,239,43,107,264,42,284,43,110,0,0,0,7.5,0,0,0,5,0,-1.3136289,18.4496124,9.06122449,34.5276873,80.09402591,2.112854758,2.48676345,8.252145215,347.5488455,355.7845868,343.081571,1.853218532,0.109680496,1.812719469,0.661076443,0.075093867,0.663087857,1.134059332,0.229632588,1.034408756,-0.911571039490177,-1.152514962215,-0.231238530214281,0.999343318279812,0.703184532509912,0.164998367276824,-1.91091435776999,-1.85569949472491,-0.396236897491105
48,"P","L","pl",39,223,40,102,336,41,217,48,110,0,0.5,1,NA,9,0,1,NA,4,9.359605911,17.6744186,72.40816327,NA,50.09746589,5.048414023,14.32758326,13.39009901,345.4351687,352.3119777,NA,5.629356294,0.977587029,4.838080375,3.625195008,0.757196496,3.041735975,4.598197522,4.365015974,1.370985049,-0.132161872280563,2.38017179348349,0.868631324292492,0.591457281373945,0.47913513629457,NA,-0.723619153654507,1.90103665718892,NA
49,"P","L","pl",38,243,46,109,345,47,356,47,112,0,0.5,2,0.5,0,2,2.5,1,0,23.31691297,72.86821705,57.2244898,5.537459283,61.95390437,9.87245409,5.872587532,18.36171617,335.4706927,353.8904364,335.2064451,8.341533415,1.256556986,7.23644167,6.281201248,0.496453901,5.805232119,4.485542621,2.615814696,2.51698977,1.14865064478721,-0.142360590850878,1.93289388106244,-1.33143396930527,0.580975772110981,-0.567440969406928,2.48008461409248,-0.723336362961859,2.50033485046937
50,"P","P","pp",37,198,40,105,230,43,243,40,111,0,0.5,0,0,0,0,0,0,0,-5.090311987,10.23255814,29.46938776,7.654723127,18.49558537,3.92654424,11.53475662,14.78547855,347.8507993,330.8449396,333.1520645,1.297662977,0.226514068,1.207569255,2.189937598,0.723821443,1.674731589,1.333082989,0.405351438,1.098075685,-0.430025248336662,1.54693711544561,1.16733698667798,1.05761274660994,-0.905897496614425,-0.758512094245703,-1.4876379949466,2.45283461206003,1.92584908092369
51,"C","P","cp",37,315,40,102,284,37,295,42,104,0,0.5,1,1.5,0,2,1.5,1,0,16.42036125,12.40310078,20.97959184,20.52117264,62.84829721,1.98196995,3.366695132,5.295049505,344.2273535,348.8393686,332.1248741,1.115211152,0.152598951,1.0823254,1.290951638,0.087609512,1.264554665,2.350732257,1.301916933,1.424994635,-0.946321766692297,-0.889988967494971,-0.864257151651749,0.358379568053404,0.255085740079229,-0.854047665965758,-1.3047013347457,-1.1450747075742,-0.0102094856859904
52,"C","L","cl",36,344,35,104,298,35,184,37,103,0,1.5,2,1,0.5,1.5,2,1,0,13.95730706,21.08527132,103.4285714,42.99674267,98.34881321,2.131552588,5.556959863,10.77491749,345.1332149,358.3101207,336.918429,1.713817138,0.331425846,1.534920016,2.057332293,0.139758031,1.969605323,1.216672925,0.423322684,0.974318621,-0.906606649814016,-0.236527523875787,0.30880548064432,0.533187853043804,0.86612954852579,-0.408215025840836,-1.43979450285782,-1.10265707240158,0.717020506485156
53,"W","L","wl",36,202,42,108,323,38,357,41,114,0,0.5,2,NA,7.5,0.5,2.5,NA,7.5,23.6453202,32.86821705,8.081632653,NA,4.093567251,24.7278798,10.70264731,15.82046205,327.6198934,350.1021356,338.9728097,4.760147601,7.99713877,-0.583690987,3.124024961,2.329995828,1.415771964,4.701464514,4.490814696,1.379211675,5.09285818275883,1.29867883722675,1.3888935045022,-2.84643920237606,0.336558251313119,-0.217143891701391,7.93929738513489,0.962120585913627,1.60603739620359
54,"W","P","wp",36,371,38,103,370,35,298,37,105,0,2,0,3,1,2.5,0,3,1,0.985221675,63.10077519,10.53061224,13.68078176,98.16534801,4.693155259,3.338001708,12.53993399,345.1332149,349.4707521,326.9889225,1.949569496,0.526943252,1.631291455,3.43798752,0.104297038,3.333585362,2.472775066,0.521166134,2.100650976,-0.226485274534599,-0.89854959763435,0.686638469906741,0.533187853043804,0.295821995696176,-1.33172548736336,-0.759673127578403,-1.19437159333053,2.0183639572701
55,"W","P","wp",35,250,39,106,275,35,243,36,112,0,2,2,2,0.5,2.5,2.5,0,0,123.4811166,22.01550388,13.63265306,3.094462541,21.2246302,6.226377295,8.741929974,14.16633663,346.642984,353.8904364,339.3152064,2.183271833,0.11921793,2.120561842,4.578783151,0.331664581,4.274535007,2.153586181,0.696884984,1.670720366,0.180594672538516,0.713702435617639,1.03479871159031,0.824535013991943,0.580975772110981,-0.185298710428708,-0.643940341453428,0.132726663506658,1.22009742201902
56,"W","L","wl",35,301,43,110,288,43,294,43,113,0,0,1,7.5,1,0,1,7,1.5,24.30213465,45.11627907,49.06122449,32.247557,98.83040936,3.216026711,5.872587532,3.853465347,347.5488455,351.0492108,332.8096677,2.035670357,0.252742012,1.892703863,1.18174727,0.22110972,1.061923484,0.995118288,0.217651757,0.910651692,-0.61867205311024,-0.142360590850878,-1.17285372946872,0.999343318279812,0.397662631512586,-0.790357284819056,-1.61801537139005,-0.540023222363464,-0.382496444649665
